fgood,cbinq,cbline,cbterm,cblineut,cbtob,cbdpd,cbnew,pmt,tob,dpd,dep,dc,od,home,dd,online,period
No,0,0,0,34.06548104,8,No,No,M,2,Medium,6917.38,28,0,No,2,Yes,8/31/2018
No,0,1,1,29.36893352,3,No,No,M,5,Medium,13165.52,21,0,No,1,Yes,1/31/2018
No,2,5,1,34.21215123,7,No,No,A,4,Medium,17071.79,20,0,Yes,0,Yes,12/31/2017
No,1,2,1,43.7861641,5,No,No,A,2,Medium,12338.72,20,0,No,0,Yes,7/31/2018
No,1,3,1,41.98621259,5,No,No,M,0,Medium,15950.99,24,0,No,0,Yes,9/30/2018
No,1,1,0,25.38066506,6,No,Yes,M,3,Medium,11917.25,19,0,No,1,Yes,9/30/2018
No,1,3,0,31.01494049,7,Yes,Yes,M,5,High,11078.24,23,0,Yes,0,Yes,7/31/2018
No,2,2,1,48.00034933,5,No,No,M,3,Medium,10555.26,25,0,No,1,No,9/30/2018
No,0,1,1,49.39517909,7,No,No,A,4,Medium,8973.53,26,0,No,2,No,12/31/2017
No,1,2,1,44.04730153,5,No,No,A,2,Medium,16112.67,23,2,Yes,0,Yes,2/28/2018
No,1,2,1,25.99768863,5,No,No,M,2,Low,10785.75,18,0,Yes,1,Yes,2/28/2018
No,0,0,0,39.28637703,7,No,No,M,3,Medium,14688.05,16,0,No,2,No,9/30/2018
No,1,2,1,42.02044263,6,No,No,A,4,Low,12829.46,12,0,No,1,No,8/31/2018
No,1,5,1,47.09214832,5,No,No,M,2,Medium,9121.18,24,2,No,0,Yes,7/31/2018
No,2,3,1,51.69912264,4,No,No,A,3,Medium,11091.27,24,2,Yes,1,No,4/30/2018
No,2,3,1,35.17858749,5,No,No,P,3,Low,8709.75,21,0,No,1,No,6/30/2018
No,2,3,1,60.10561144,3,No,No,M,0,High,5422.27,4,1,No,0,Yes,1/31/2018
No,1,0,0,39.79934218,6,No,No,A,5,Medium,12715.17,25,1,No,2,No,8/31/2018
No,1,1,1,61.64434293,5,No,No,A,1,Medium,10360.2,17,0,No,0,Yes,1/31/2018
No,1,1,0,41.1776127,5,No,No,M,3,Medium,13163.38,22,0,No,0,No,7/31/2018
No,1,0,0,44.0388231,5,No,No,A,1,Medium,11111.15,26,0,No,0,Yes,5/31/2018
No,1,1,2,31.89779417,5,No,No,M,2,Medium,10591.24,20,0,No,0,Yes,7/31/2018
No,1,3,1,42.01665296,6,Yes,Yes,P,5,Low,10073.05,36,0,Yes,0,Yes,7/31/2018
No,0,1,0,22.33756273,5,No,No,M,4,Medium,12286.18,15,0,No,1,No,2/28/2018
No,1,1,1,50.55754075,5,Yes,No,M,0,High,8259.63,27,2,No,0,Yes,7/31/2018
No,1,2,0,33.30338282,6,No,No,M,3,Medium,15188.5,28,2,Yes,1,Yes,12/31/2017
No,1,2,0,41.55434086,7,No,No,A,2,Medium,14103.84,24,0,No,0,Yes,5/31/2018
No,1,2,0,30.48398386,4,No,No,A,2,Medium,13711.15,21,0,Yes,1,Yes,12/31/2017
No,1,1,1,39.74967528,7,Yes,No,P,5,Medium,17475.06,22,2,Yes,1,No,6/30/2018
No,1,4,0,56.78869113,6,Yes,Yes,M,1,High,7993.13,19,2,No,0,Yes,8/31/2018
No,1,3,1,57.93923769,3,No,No,P,2,Medium,10405.62,16,1,Yes,2,No,5/31/2018
No,0,2,0,59.86133752,4,No,No,M,2,Medium,10987.29,22,2,No,1,Yes,6/30/2018
No,2,3,0,39.40816822,4,No,No,M,2,Medium,12724.45,19,0,No,1,No,2/28/2018
No,0,2,1,38.59507186,8,No,No,P,2,Medium,11744.21,29,0,No,0,Yes,12/31/2017
No,2,4,1,57.28728537,3,Yes,No,A,2,High,13398.1,9,2,No,0,Yes,3/31/2018
No,1,3,1,40.4188943,4,Yes,No,A,5,High,16303.37,26,2,No,0,Yes,4/30/2018
No,2,3,2,54.9867952,6,No,No,P,2,Low,11067.72,23,2,No,0,No,7/31/2018
No,1,3,1,53.36029326,3,No,No,M,2,Medium,13753.27,19,1,No,0,Yes,12/31/2017
No,0,0,0,27.40424631,7,No,No,M,3,Medium,14080.33,24,0,Yes,0,No,12/31/2017
No,0,1,0,61.51035919,5,Yes,No,M,5,Low,12970.83,30,2,No,0,No,3/31/2018
No,0,2,1,38.55416191,5,No,No,M,5,Medium,17262.01,24,1,Yes,1,Yes,6/30/2018
No,1,1,0,37.50428029,5,No,Yes,P,3,Medium,13658.56,26,0,Yes,1,Yes,2/28/2018
No,1,3,0,32.85691335,3,No,No,A,3,Medium,12258.91,22,0,No,1,Yes,12/31/2017
No,1,2,1,61.05150598,6,No,No,P,4,Medium,12596.26,22,0,No,1,No,6/30/2018
No,0,0,0,43.62833227,7,No,No,M,1,High,11564.18,22,1,No,0,Yes,2/28/2018
No,1,2,0,58.60457648,6,Yes,No,A,2,High,9716.92,18,1,No,1,No,4/30/2018
No,1,2,0,26.93537865,6,No,No,A,2,Low,11745.05,19,0,No,1,Yes,7/31/2018
No,1,1,0,44.67207034,6,No,No,P,2,Medium,14096.95,32,2,Yes,1,Yes,12/31/2017
No,0,0,0,52.6917728,6,No,No,A,4,Medium,15727.42,28,1,No,1,No,6/30/2018
No,1,1,0,44.1304341,6,No,No,M,2,Medium,15806.66,17,0,No,0,Yes,5/31/2018
No,0,1,0,34.07066188,6,No,No,A,5,Medium,15578.55,30,2,Yes,1,No,5/31/2018
No,1,0,0,27.99856001,5,No,Yes,A,4,Medium,13983.89,30,0,Yes,1,Yes,12/31/2017
No,1,4,1,38.51656666,3,Yes,Yes,M,2,High,6691.05,20,0,No,0,Yes,9/30/2018
No,1,2,0,52.42724992,4,No,No,P,3,Medium,15744.1,19,0,No,1,Yes,9/30/2018
No,0,0,0,16.62844333,6,No,No,M,3,Medium,13530.94,28,0,Yes,2,No,2/28/2018
No,1,2,1,45.65255835,5,No,No,M,2,Medium,13831.94,16,2,No,0,Yes,1/31/2018
No,1,2,0,34.86399907,6,No,No,A,2,Low,10671.76,30,1,No,1,Yes,5/31/2018
No,2,3,0,46.322999,6,No,No,M,1,Medium,13001.06,11,0,No,0,No,4/30/2018
No,1,0,0,31.72264095,4,No,No,M,3,Medium,13778.63,17,2,No,2,Yes,6/30/2018
No,1,2,0,57.81027332,6,No,No,P,4,Medium,15206.33,28,0,No,1,Yes,7/31/2018
No,1,1,1,29.1808907,8,No,No,A,3,Medium,11365.62,21,0,No,1,No,9/30/2018
No,2,3,1,48.55466595,6,No,No,A,2,Medium,7759.53,21,0,No,0,No,8/31/2018
No,1,3,0,55.21562268,7,Yes,Yes,P,3,Medium,12715.87,23,0,No,0,Yes,3/31/2018
No,1,3,0,31.65880887,5,No,No,A,4,Medium,15204.79,24,1,No,1,No,4/30/2018
No,2,3,1,30.41061606,7,No,No,M,1,Low,12351.23,24,0,No,0,Yes,1/31/2018
No,1,1,0,38.98824792,5,No,Yes,P,4,Medium,13133.81,24,0,No,1,No,8/31/2018
No,0,1,0,21.14234909,8,No,No,M,2,Medium,11301.57,28,0,No,1,No,9/30/2018
No,1,2,0,48.86631447,7,No,No,A,3,Medium,14155.59,23,0,Yes,1,Yes,12/31/2017
No,0,1,0,33.88808005,6,Yes,No,A,3,Low,14712.33,17,0,Yes,2,Yes,9/30/2018
No,1,1,1,33.67094945,5,No,No,M,3,Low,12658.95,19,0,No,0,Yes,7/31/2018
No,1,1,0,27.28877448,5,No,No,M,3,Medium,13220.33,20,0,No,1,Yes,9/30/2018
No,2,4,1,47.89574985,4,No,No,A,2,High,9367.7,18,0,No,0,Yes,4/30/2018
No,1,0,0,42.17663016,7,No,No,M,2,Medium,12254.52,23,0,No,0,Yes,5/31/2018
No,1,1,0,41.39973728,5,No,No,A,3,Medium,14238.42,24,0,Yes,0,Yes,5/31/2018
No,0,0,0,41.16085306,8,No,No,A,3,Medium,17608.74,23,0,Yes,2,No,1/31/2018
No,1,1,0,48.44327221,7,No,No,M,3,Medium,10613.36,25,0,No,0,Yes,6/30/2018
No,1,2,1,39.2828032,4,No,No,P,3,Medium,13315.46,22,0,Yes,1,Yes,7/31/2018
No,1,4,1,49.8843598,6,No,No,A,2,Medium,10559.88,22,0,No,0,Yes,5/31/2018
No,1,3,1,50.61208545,3,No,No,M,3,High,11871.38,18,2,No,0,Yes,12/31/2017
No,2,4,0,26.01109945,6,No,No,M,2,Medium,11654.84,17,0,Yes,2,Yes,9/30/2018
No,1,2,0,45.44490731,5,No,No,M,3,Medium,12694.64,17,0,No,1,No,4/30/2018
No,0,2,1,45.67277581,5,No,No,A,4,Medium,10694.61,26,2,No,2,Yes,3/31/2018
No,1,2,0,50.18734977,4,No,No,P,3,Medium,13015.25,25,1,Yes,1,Yes,3/31/2018
No,0,1,0,34.72396138,5,No,No,M,4,Medium,8801.7,23,0,No,1,Yes,6/30/2018
No,0,0,1,50.8411217,7,No,No,A,2,Medium,12133.98,27,2,No,1,No,5/31/2018
No,1,2,0,21.4977934,5,Yes,Yes,M,3,Medium,7290.21,29,0,No,1,Yes,5/31/2018
No,1,1,1,24.57137023,4,No,No,P,3,Medium,17173.9,18,0,Yes,2,Yes,6/30/2018
No,2,2,0,52.35845093,4,No,No,A,5,Medium,10873.79,28,2,Yes,2,No,7/31/2018
No,1,3,0,27.26557277,8,No,No,A,1,High,17475.58,16,0,Yes,0,No,4/30/2018
No,0,1,0,36.69772389,5,No,No,M,0,Medium,8676.57,13,1,No,0,Yes,4/30/2018
No,0,0,1,37.21095099,6,No,No,P,5,Medium,16680.14,25,0,Yes,2,No,8/31/2018
No,1,0,1,42.29954877,8,No,No,A,5,High,12921.84,30,0,No,0,Yes,8/31/2018
No,2,4,1,56.461457,4,Yes,No,M,1,High,5406,25,2,No,0,Yes,9/30/2018
No,1,2,1,43.33837375,7,No,No,A,2,Medium,10765.63,23,1,Yes,1,No,12/31/2017
No,2,3,1,31.46118997,5,No,No,A,3,Medium,8316.63,23,0,No,1,No,3/31/2018
No,1,1,0,39.10559268,4,No,No,A,5,Low,14810.03,27,2,No,1,No,6/30/2018
No,2,4,1,43.20887863,5,No,No,A,3,Medium,14743.24,23,2,No,0,Yes,7/31/2018
No,0,1,0,34.6948262,6,No,No,A,5,Medium,12326.85,32,0,Yes,2,No,3/31/2018
No,1,2,1,48.08649886,7,No,No,M,3,Medium,12751.32,19,0,Yes,1,Yes,6/30/2018
No,1,2,0,29.63447098,5,No,No,A,5,Medium,10570.01,22,0,Yes,1,No,8/31/2018
No,1,1,1,36.54257912,6,No,No,M,3,Medium,13418.3,22,0,No,1,Yes,2/28/2018
No,1,1,1,52.98953382,6,Yes,Yes,M,4,Low,14618.38,23,2,Yes,0,No,12/31/2017
No,2,3,1,51.43697359,4,No,No,A,3,Low,11729.79,23,1,No,0,Yes,12/31/2017
No,0,2,0,45.57167846,7,No,No,P,5,Medium,16980.93,21,0,No,0,Yes,1/31/2018
No,2,2,1,41.52295451,6,No,No,A,4,Medium,11303.19,30,0,No,0,Yes,7/31/2018
No,0,1,0,43.05416091,8,No,No,A,3,Medium,13856.2,22,0,Yes,2,No,7/31/2018
No,2,3,0,28.06778634,5,No,Yes,M,5,Medium,13461.24,22,1,No,1,Yes,9/30/2018
No,2,1,0,32.68246925,6,No,No,M,2,Medium,14606.53,19,1,No,0,Yes,6/30/2018
No,0,0,0,40.6508866,7,No,No,A,5,Medium,13468.21,28,0,Yes,2,No,3/31/2018
No,0,3,1,48.58098813,6,No,No,M,2,Low,12454.37,23,2,No,0,Yes,4/30/2018
No,2,3,1,43.32892877,6,No,No,A,4,Medium,13164.68,29,1,No,0,Yes,5/31/2018
No,1,2,0,42.03720823,5,No,No,M,2,Medium,8219.17,14,0,Yes,2,Yes,4/30/2018
No,1,3,0,34.94359034,5,No,No,M,0,Medium,6561.21,17,0,No,2,No,5/31/2018
No,0,0,0,29.22679755,5,No,No,M,3,Medium,17936.79,24,0,No,0,Yes,4/30/2018
No,0,2,1,53.84121758,6,Yes,No,P,5,High,15426.86,28,2,Yes,1,No,8/31/2018
No,1,1,1,58.02045805,3,No,No,M,4,Medium,11296.07,24,0,No,0,No,2/28/2018
No,1,1,0,38.64574875,6,No,No,A,1,Medium,12342.35,16,0,No,1,Yes,6/30/2018
No,0,2,1,51.02050507,6,No,No,P,5,Medium,14715.46,32,0,Yes,1,No,6/30/2018
No,1,0,0,36.37923235,6,No,No,M,1,Medium,10155.65,27,0,No,0,Yes,12/31/2017
No,1,3,0,33.9914458,6,Yes,Yes,P,2,Medium,16433.66,21,1,Yes,2,Yes,3/31/2018
No,0,1,0,49.29849543,5,No,No,A,2,Medium,13890.39,23,0,No,1,Yes,4/30/2018
No,0,1,0,57.65316517,7,No,No,M,1,Medium,10770.66,24,0,No,0,No,7/31/2018
No,0,2,1,27.6717108,6,No,No,A,2,Medium,8651.35,26,0,No,1,Yes,5/31/2018
No,1,0,0,27.05891537,8,No,Yes,A,5,Medium,12694.02,29,0,Yes,1,No,2/28/2018
No,0,1,1,37.03099378,8,No,No,M,1,Medium,12270.39,25,0,Yes,0,Yes,3/31/2018
No,0,1,1,22.29941977,6,No,No,A,4,Medium,17533.77,26,0,Yes,1,Yes,2/28/2018
No,0,0,0,27.47108727,5,No,No,A,4,Medium,22196.02,33,1,Yes,0,Yes,4/30/2018
No,0,1,0,12.05195615,5,No,No,M,3,Medium,10786.22,27,0,Yes,2,Yes,6/30/2018
No,2,2,0,40.8583438,3,No,Yes,A,2,Medium,12235.63,22,0,Yes,0,Yes,4/30/2018
No,1,1,0,50.54229079,6,No,No,M,2,Low,10184.57,29,2,No,0,Yes,8/31/2018
No,1,1,0,45.35675971,8,Yes,Yes,A,3,Medium,13350.06,15,0,No,1,Yes,12/31/2017
No,0,0,0,47.97784889,5,No,No,A,2,Medium,10652.65,25,0,No,0,Yes,5/31/2018
No,0,0,1,60.82040168,5,No,No,M,3,Medium,9984.6,24,0,No,0,Yes,2/28/2018
No,0,2,1,9.156760003,7,No,No,A,4,Medium,12451.08,27,0,No,2,No,8/31/2018
No,0,1,0,27.17352067,7,No,No,M,2,Medium,12909.98,34,0,No,0,No,9/30/2018
No,0,0,1,43.05808695,5,No,No,M,1,Medium,5812.11,25,0,No,1,Yes,6/30/2018
No,1,2,1,39.62627804,7,No,No,A,4,Medium,14758.15,31,2,No,1,Yes,9/30/2018
No,1,2,0,49.57653149,7,No,No,A,2,Medium,8749.18,24,0,No,1,Yes,9/30/2018
No,0,1,0,32.61391573,7,No,No,A,1,Medium,14713.97,17,0,Yes,1,Yes,2/28/2018
No,1,2,1,46.06586938,6,No,Yes,M,2,Medium,12207.12,14,0,No,1,No,4/30/2018
No,2,1,0,51.09175592,8,No,No,A,5,Medium,13021.29,25,0,Yes,0,No,3/31/2018
No,1,2,0,59.91369434,6,No,Yes,M,2,Medium,9365.94,22,2,No,1,Yes,1/31/2018
No,1,2,1,43.74087321,6,No,Yes,A,2,Medium,16991.18,19,2,No,0,No,4/30/2018
No,1,2,0,42.8947484,4,No,No,A,3,Medium,10471.53,20,0,Yes,1,Yes,2/28/2018
No,1,0,0,42.87243694,4,No,No,M,0,High,6289.29,11,0,No,1,Yes,8/31/2018
No,2,2,0,58.28950035,6,Yes,Yes,M,1,High,7750.93,20,2,No,0,Yes,3/31/2018
No,2,2,1,35.96043824,6,No,No,A,1,Medium,12423.92,17,0,Yes,0,Yes,4/30/2018
No,1,2,1,57.30830343,6,No,No,M,2,Medium,10415.61,19,1,Yes,0,No,6/30/2018
No,2,3,2,56.83397269,5,No,No,A,1,Low,5523.59,26,0,No,0,Yes,2/28/2018
No,1,4,1,48.55021041,6,Yes,Yes,A,3,Low,8570.42,25,1,Yes,1,Yes,12/31/2017
No,1,1,1,64.75305764,3,No,No,M,2,Low,9452.67,13,1,No,0,Yes,9/30/2018
No,0,2,1,27.7021135,6,No,No,P,5,Medium,20110.28,41,2,Yes,2,Yes,5/31/2018
No,2,2,0,24.61267502,7,No,No,M,1,Medium,9771.36,25,1,No,0,Yes,6/30/2018
No,2,3,1,47.21069819,5,No,No,M,3,Medium,12095,18,1,No,1,Yes,2/28/2018
No,0,1,0,59.84855655,7,No,No,A,1,Medium,9580.28,21,2,No,1,No,2/28/2018
No,2,3,1,42.80665737,7,No,No,A,4,Low,13229.49,26,1,Yes,0,Yes,9/30/2018
No,0,0,1,46.69798279,7,No,No,A,3,Medium,14994.76,18,0,Yes,1,No,8/31/2018
No,0,0,0,43.53236873,7,No,No,M,2,Medium,10576.4,30,1,No,0,Yes,12/31/2017
No,1,2,0,34.76405513,5,No,No,P,5,Medium,16822.68,35,0,Yes,2,No,5/31/2018
No,0,1,1,41.02367852,6,Yes,Yes,M,4,High,11268.49,25,2,No,0,Yes,7/31/2018
No,1,1,0,27.26455314,8,No,No,P,4,Medium,16868.74,29,0,No,0,Yes,6/30/2018
No,1,3,1,70.77303986,5,No,No,P,4,Medium,11451.42,20,0,No,1,No,8/31/2018
No,1,4,0,49.17937026,5,No,No,M,2,Low,10421.75,20,0,No,1,Yes,4/30/2018
No,1,2,1,54.7922776,6,No,No,P,4,High,11884.31,19,1,No,1,Yes,3/31/2018
No,2,2,1,71.78409171,5,No,No,A,3,Medium,14919.81,21,2,Yes,1,Yes,9/30/2018
No,1,1,0,36.86042492,6,No,No,P,4,Medium,12513.88,29,0,Yes,1,No,5/31/2018
No,0,1,0,54.12829846,6,No,No,A,3,Medium,12272.08,16,0,Yes,2,No,3/31/2018
No,1,1,0,43.65719358,6,No,No,A,2,Low,9732.99,20,0,Yes,2,Yes,7/31/2018
No,1,2,0,36.61609526,4,No,No,A,3,Medium,8787.33,31,0,No,0,No,5/31/2018
No,1,0,1,45.32536374,5,No,No,M,3,Medium,13835.53,19,0,No,1,No,7/31/2018
No,1,2,1,19.0325253,6,No,No,P,4,Medium,14673.67,30,0,No,0,No,9/30/2018
No,2,2,0,64.97998225,5,No,No,A,4,Medium,13883.28,18,0,No,1,No,5/31/2018
No,0,1,0,33.59065194,7,No,No,M,2,Medium,11392.67,26,1,No,1,Yes,12/31/2017
No,0,2,1,52.63002734,6,No,No,A,1,Medium,12718.73,17,0,No,0,Yes,12/31/2017
No,2,2,0,71.80785653,5,No,Yes,A,4,Medium,11272.07,18,0,No,1,No,3/31/2018
No,1,1,0,64.95898771,6,No,No,P,2,Medium,13448.73,31,0,No,0,Yes,12/31/2017
No,1,1,0,28.80590176,7,No,No,A,2,Medium,10487.39,30,0,No,0,Yes,7/31/2018
No,1,0,0,35.87234223,7,No,No,A,3,Medium,10263.53,19,0,Yes,1,No,3/31/2018
No,2,2,0,43.87577892,7,No,No,M,2,Medium,14218.04,21,0,No,0,Yes,1/31/2018
No,1,1,0,30.80838916,6,No,No,M,3,Medium,11824.16,13,0,Yes,2,No,12/31/2017
No,1,2,0,40.42200694,4,Yes,No,A,4,High,14388.31,23,0,No,0,Yes,4/30/2018
No,0,2,1,51.17458655,7,No,No,A,3,Low,10016.62,24,0,Yes,1,No,3/31/2018
No,2,1,2,61.64205705,5,No,No,M,1,High,4496.06,12,0,No,1,No,8/31/2018
No,1,1,0,45.88987848,5,No,Yes,M,3,Medium,8491.83,26,2,Yes,1,Yes,4/30/2018
No,1,3,1,54.72620791,5,No,No,A,3,Medium,13726.75,25,1,No,0,Yes,2/28/2018
No,0,2,0,39.69486306,7,No,No,A,3,Medium,15807.2,34,1,No,0,Yes,12/31/2017
No,2,2,0,43.10655894,5,No,No,A,3,Low,15161.59,16,2,Yes,1,Yes,6/30/2018
No,1,4,0,70.49941507,8,Yes,Yes,M,2,Low,10031.84,19,1,No,0,No,7/31/2018
No,0,1,0,25.63655986,5,No,No,A,2,Medium,16205.22,28,0,No,1,Yes,6/30/2018
No,0,1,1,40.95353854,3,No,No,M,3,Medium,10359.72,19,0,Yes,1,No,5/31/2018
No,2,2,0,38.49828899,6,Yes,Yes,A,2,Low,11575.97,23,1,No,2,Yes,8/31/2018
No,1,2,2,49.54161892,6,No,No,P,3,Medium,13511.15,23,0,No,1,No,8/31/2018
No,0,1,1,60.07480144,7,Yes,Yes,P,2,Low,10524.95,25,0,Yes,1,Yes,3/31/2018
No,1,1,0,31.77663935,6,No,Yes,M,1,Medium,7288.6,20,0,No,1,Yes,7/31/2018
No,2,3,1,64.93876154,5,No,No,M,0,High,6221.66,10,2,No,0,Yes,3/31/2018
No,2,2,2,60.07727417,4,No,No,A,1,High,7415.27,18,2,No,0,Yes,1/31/2018
No,1,2,0,46.70396117,5,No,No,A,5,Medium,13063.85,28,0,No,2,Yes,9/30/2018
No,1,1,0,40.42272706,5,No,No,M,5,Low,12985.09,23,0,No,1,No,3/31/2018
No,2,2,2,38.73803392,5,No,No,M,0,High,8896.81,14,2,No,0,Yes,4/30/2018
No,1,2,0,45.1653837,4,No,Yes,A,2,Medium,9922.91,22,0,No,0,Yes,3/31/2018
No,1,2,1,58.87284875,6,No,No,A,3,Medium,13340.75,30,0,No,0,Yes,6/30/2018
No,0,1,0,24.18728791,6,No,No,M,1,Medium,13551.84,17,0,No,0,Yes,5/31/2018
No,2,1,1,17.05393862,8,No,No,A,3,Medium,10974.24,22,0,Yes,1,Yes,9/30/2018
No,1,3,2,41.72990872,5,No,No,M,0,Low,7929.86,20,0,No,0,Yes,3/31/2018
No,1,1,0,43.94854571,5,No,Yes,M,5,Medium,15021.49,26,0,Yes,0,Yes,3/31/2018
No,1,2,1,30.0803154,5,No,No,A,2,Low,11949.54,12,0,No,1,No,3/31/2018
No,0,0,0,53.81455461,8,No,No,P,4,Medium,14576.43,26,0,Yes,2,Yes,6/30/2018
No,1,1,0,54.25,7,No,Yes,P,5,Medium,17608.41,20,0,Yes,0,Yes,1/31/2018
No,1,1,0,30.93436961,7,No,No,P,5,Medium,18743.18,26,0,Yes,1,No,5/31/2018
No,1,2,0,22.468535,7,No,No,A,5,Medium,15455.89,25,0,No,1,No,8/31/2018
No,1,1,0,43.15383043,8,No,No,P,3,Medium,16957.03,29,0,No,1,Yes,1/31/2018
No,1,2,0,46.39896386,5,No,No,M,1,Medium,11165.1,22,0,No,0,Yes,1/31/2018
No,1,4,2,49.5962037,6,No,No,A,4,Medium,9999.2,26,0,No,1,No,4/30/2018
No,1,2,0,37.14540308,5,No,No,A,4,Medium,18182.18,36,1,No,0,No,8/31/2018
No,1,2,1,40.60516662,5,No,No,P,2,Medium,10555.73,14,0,Yes,2,No,12/31/2017
No,0,0,0,41.48907698,7,No,No,P,4,Medium,9828.63,29,0,Yes,2,Yes,3/31/2018
No,2,3,0,43.40312928,5,No,No,M,1,Medium,10172.35,22,1,No,0,Yes,12/31/2017
No,1,2,0,17.16998264,5,No,No,M,2,Medium,14588.74,16,0,Yes,1,Yes,1/31/2018
No,1,2,0,39.6104687,7,No,No,A,1,Medium,12106.7,20,1,No,0,Yes,5/31/2018
No,0,2,1,54.84710772,5,No,No,A,2,Medium,12004.23,25,1,No,0,Yes,5/31/2018
No,2,2,2,45.70506457,3,Yes,Yes,A,4,Low,10386.77,23,2,No,2,Yes,1/31/2018
No,1,1,1,40.36505141,6,Yes,Yes,M,0,High,6957.13,18,2,No,0,No,3/31/2018
No,2,2,0,60.41207265,5,No,No,A,3,Medium,9076.27,33,2,No,0,No,8/31/2018
No,1,2,0,13.26871656,6,No,No,M,1,Medium,9636.74,24,0,No,1,Yes,3/31/2018
No,1,1,0,38.89321895,6,No,No,M,3,Medium,13470.26,22,0,No,1,Yes,2/28/2018
No,0,1,0,24.07385376,6,No,No,A,5,Medium,14938.6,27,0,Yes,2,Yes,7/31/2018
No,1,2,0,31.97696613,5,No,No,M,0,Medium,11921.57,17,0,Yes,2,Yes,4/30/2018
No,1,0,0,44.29392135,5,No,No,M,2,Medium,11058.25,20,0,No,1,Yes,5/31/2018
No,2,2,0,23.19314439,5,No,No,A,2,Medium,12472.98,29,0,No,0,Yes,2/28/2018
No,2,3,0,30.65093586,6,No,No,P,5,Medium,17014.03,27,1,Yes,1,No,1/31/2018
No,0,0,0,52.14013325,7,No,No,A,3,Medium,12378.51,20,2,Yes,1,Yes,5/31/2018
No,1,2,0,44.45800207,5,No,No,A,4,Medium,10908.86,21,1,No,1,No,6/30/2018
No,2,2,1,33.60307513,7,No,No,A,2,Medium,15322.69,24,0,Yes,0,Yes,5/31/2018
No,1,1,0,33.93517696,6,No,No,M,2,Medium,10807.81,24,0,No,0,Yes,3/31/2018
No,2,3,1,59.34334644,4,No,No,M,1,Low,10195.96,15,1,Yes,0,Yes,3/31/2018
No,1,1,0,47.27242855,7,No,No,A,4,Medium,16146.8,28,2,Yes,1,No,3/31/2018
No,1,2,0,47.66234821,8,Yes,Yes,A,4,Low,10934.93,30,2,No,0,No,7/31/2018
No,1,2,1,57.4913109,4,Yes,No,M,2,High,7313.04,16,1,No,1,Yes,8/31/2018
No,1,2,0,39.98389286,7,No,No,P,5,Medium,15911.82,30,0,Yes,2,No,2/28/2018
No,1,1,0,59.4130312,7,No,No,M,3,High,12096.57,20,1,Yes,0,Yes,9/30/2018
No,1,1,0,53.30680877,7,Yes,Yes,A,3,High,15277.17,19,2,Yes,1,Yes,7/31/2018
No,0,0,0,49.66404212,6,No,No,P,5,Medium,18355.97,23,0,Yes,1,No,5/31/2018
No,1,1,1,41.72444634,5,No,No,A,2,Medium,15165.29,27,0,No,0,Yes,3/31/2018
No,1,0,1,13.69267573,8,No,No,A,3,Medium,12913.66,26,0,No,1,Yes,2/28/2018
No,2,2,1,43.73181398,5,No,Yes,A,1,High,4435.72,25,0,No,0,Yes,7/31/2018
No,2,2,1,63.13980265,6,Yes,Yes,A,0,High,5660.58,16,2,No,0,Yes,7/31/2018
No,1,0,1,32.51854032,6,No,No,A,4,Medium,14506.36,36,0,Yes,0,Yes,6/30/2018
No,1,2,0,37.3542364,5,Yes,Yes,A,4,Low,16317.37,27,1,Yes,0,Yes,2/28/2018
No,2,3,1,32.16140653,4,No,No,M,0,High,5949.86,15,0,No,0,Yes,1/31/2018
No,2,1,0,39.89721398,7,No,No,A,3,Medium,11156.81,19,0,Yes,1,Yes,4/30/2018
No,1,1,0,24.74806512,8,No,No,A,5,Medium,16557.15,29,0,Yes,1,No,4/30/2018
No,0,0,0,33.7408406,7,No,No,M,4,Medium,14693.72,24,0,Yes,1,No,6/30/2018
No,1,2,0,34.89654879,7,No,No,A,1,Medium,12363.02,20,0,No,1,Yes,2/28/2018
No,2,2,1,41.07261609,4,No,No,M,4,High,12934.98,20,2,No,1,Yes,3/31/2018
No,1,2,0,34.83254527,8,No,No,A,3,Medium,13242.74,29,2,No,1,Yes,3/31/2018
No,0,0,0,26.35320359,5,No,No,A,5,Medium,13390.53,24,0,Yes,2,No,7/31/2018
No,0,1,0,34.76046272,5,No,Yes,A,4,Medium,11569.28,29,1,No,2,Yes,7/31/2018
No,0,2,0,18.09111526,5,No,No,M,5,Medium,12443.29,30,0,No,0,No,9/30/2018
No,1,1,0,33.00014837,5,No,No,M,3,Medium,18361.65,22,2,Yes,1,Yes,3/31/2018
No,0,1,0,31.27021022,6,No,No,M,2,Low,11944.02,20,0,No,0,No,1/31/2018
No,1,2,0,36.99489739,5,No,No,M,4,Medium,12569.72,18,0,No,1,Yes,8/31/2018
No,1,1,0,29.6952109,5,No,No,P,3,Medium,14280.36,33,0,No,0,Yes,1/31/2018
No,1,2,1,33.84285427,5,No,No,M,0,Medium,9336.86,17,1,No,1,Yes,4/30/2018
No,1,2,1,47.07781736,6,No,No,M,2,Medium,12058.05,14,0,No,0,No,4/30/2018
No,1,2,1,44.23847248,6,No,No,M,3,High,18243.61,20,1,No,0,Yes,8/31/2018
No,1,2,1,48.13988543,6,No,No,A,3,High,9309.14,22,0,No,1,No,7/31/2018
No,1,3,1,35.24844393,5,Yes,No,A,4,Medium,16386.04,25,2,No,0,Yes,8/31/2018
